interaction_id,user_id,product_id,interaction_type,quantity,interaction_time,weight
1453,974,11,view,1,2025-11-05 05:10:29,1
3122,349,16,view,1,2025-11-05 05:23:22,1
1912,997,7,view,1,2025-11-05 05:24:56,1
984,512,18,view,1,2025-11-05 05:37:44,1
1732,879,4,view,1,2025-11-05 06:38:13,1
3166,913,19,view,1,2025-11-05 06:55:30,1
3605,528,12,addtocart,1,2025-11-05 06:58:54,3
798,10,10,view,1,2025-11-05 07:45:23,1
4102,85,4,view,1,2025-11-05 08:08:15,1
2698,165,3,view,1,2025-11-05 08:38:36,1
4505,34,6,view,1,2025-11-05 10:39:40,1
3634,296,3,purchase,1,2025-11-05 12:40:00,5
2550,800,12,view,1,2025-11-05 13:11:31,1
3617,756,19,addtocart,1,2025-11-05 13:35:25,3
2877,521,4,view,1,2025-11-05 14:32:12,1
4344,744,7,view,1,2025-11-05 14:57:59,1
4758,249,5,view,1,2025-11-05 15:02:49,1
3867,704,15,view,1,2025-11-05 15:36:32,1
1021,81,12,like,1,2025-11-05 15:47:54,2
489,589,8,view,1,2025-11-05 16:13:07,1
408,895,5,addtocart,1,2025-11-05 16:40:48,3
4040,973,17,purchase,2,2025-11-05 16:47:29,5
927,327,14,view,1,2025-11-05 17:17:16,1
846,776,18,view,1,2025-11-05 17:42:16,1
181,227,3,like,1,2025-11-05 18:06:49,2
2561,960,16,view,1,2025-11-05 18:21:34,1
347,91,14,view,1,2025-11-05 18:42:18,1
2733,370,18,view,1,2025-11-05 19:14:48,1
3824,931,9,view,1,2025-11-05 19:45:20,1
1922,856,19,addtocart,1,2025-11-05 20:15:58,3
2576,999,18,view,1,2025-11-05 20:16:33,1
662,298,13,view,1,2025-11-05 20:20:00,1
4470,825,19,view,1,2025-11-05 20:22:59,1
1131,852,3,view,1,2025-11-05 20:23:38,1
850,539,15,view,1,2025-11-05 21:32:12,1
855,154,6,purchase,2,2025-11-05 21:43:23,5
1478,140,19,addtocart,1,2025-11-05 21:46:43,3
3825,45,3,view,1,2025-11-05 21:47:35,1
289,866,18,view,1,2025-11-05 22:02:28,1
3246,241,14,purchase,2,2025-11-05 22:16:23,5
3153,278,5,addtocart,1,2025-11-05 23:52:45,3
1547,239,6,view,1,2025-11-06 00:04:35,1
1463,919,17,view,1,2025-11-06 00:20:23,1
2177,842,1,view,1,2025-11-06 00:22:47,1
1181,566,6,view,1,2025-11-06 00:34:35,1
3486,386,6,addtocart,1,2025-11-06 00:42:39,3
