interaction_id,user_id,product_id,interaction_type,quantity,interaction_time
1,610,19,View,1,2025-12-15 20:31:09
2,944,10,View,1,2026-01-03 08:01:04
3,450,4,Purchase,2,2026-02-02 03:11:06
4,706,10,AddToCart,1,2026-01-11 10:38:16
5,717,13,AddToCart,1,2026-01-18 05:25:17
6,966,9,View,1,2025-11-29 07:23:52
7,513,18,View,1,2025-12-01 18:29:03
8,506,15,AddToCart,1,2025-12-13 20:03:50
9,83,20,View,1,2025-12-08 11:52:43
10,41,14,View,1,2025-12-03 18:26:01
11,753,11,View,1,2025-12-19 04:10:00
12,619,9,Like,1,2026-01-22 08:16:20
13,27,3,Purchase,1,2025-11-18 03:44:19
14,985,19,View,1,2025-11-18 14:56:32
15,602,1,AddToCart,1,2025-12-15 06:43:34
16,784,9,Purchase,1,2026-01-02 16:56:36
17,782,6,View,1,2026-01-12 04:06:40
18,482,17,View,1,2026-01-30 06:30:26
19,668,15,Purchase,2,2026-01-16 20:55:14
20,186,19,View,1,2025-12-24 22:41:33
21,447,16,View,1,2025-12-04 05:28:40
22,993,3,View,1,2026-01-26 01:27:55
23,482,12,Purchase,2,2026-01-12 07:33:35
24,342,11,Like,1,2025-12-28 09:26:24
25,687,4,Purchase,1,2026-01-27 18:33:13
26,338,14,View,1,2025-12-05 16:25:29
27,711,16,Purchase,2,2026-01-13 07:44:49
28,679,13,AddToCart,1,2026-01-15 17:52:17
29,834,18,View,1,2026-02-04 00:51:39
30,38,15,AddToCart,1,2025-12-28 22:53:53
31,91,11,View,1,2026-01-05 14:59:08
32,259,11,View,1,2025-11-26 07:24:16
33,119,13,View,1,2025-11-24 17:03:54
34,886,17,View,1,2025-11-25 13:37:32
35,845,1,View,1,2026-01-04 19:22:32
36,674,18,View,1,2026-01-13 13:35:46
37,474,14,View,1,2025-12-03 10:03:32
38,56,7,AddToCart,1,2026-01-10 20:52:48
39,531,12,View,1,2025-12-08 17:33:07
40,638,16,View,1,2026-02-02 15:29:31
41,641,15,View,1,2026-01-09 11:42:14
42,779,2,AddToCart,1,2025-11-18 02:06:26
43,209,9,View,1,2026-01-13 04:18:12
44,563,5,View,1,2026-01-07 07:46:14
45,950,10,Purchase,2,2025-11-22 11:17:36
46,902,16,View,1,2025-12-24 03:06:59
47,125,1,View,1,2025-12-27 21:03:23
48,997,20,View,1,2026-01-11 14:49:25
49,819,8,Purchase,1,2026-01-06 00:59:30
50,319,18,View,1,2025-12-06 12:09:46
51,15,18,Purchase,2,2026-01-13 04:12:05
52,96,8,View,1,2025-11-16 09:52:24
53,862,4,Purchase,2,2026-01-18 01:41:38
54,970,4,AddToCart,1,2025-12-09 09:43:59
55,664,5,Like,1,2025-12-29 19:10:03
56,511,10,View,1,2025-12-21 20:18:09
57,522,9,AddToCart,1,2025-12-31 18:59:48
58,426,16,View,1,2025-12-30 14:38:35
59,484,8,View,1,2026-01-08 23:32:55
60,468,18,View,1,2026-01-13 03:40:03
61,149,13,Purchase,1,2025-12-15 17:45:13
62,944,20,Like,1,2026-01-09 16:03:39
63,521,5,AddToCart,1,2026-01-16 19:37:12
64,885,3,View,1,2026-01-30 23:49:06
65,283,14,View,1,2026-01-25 21:32:20
66,349,17,AddToCart,1,2025-12-27 01:02:36
67,274,1,View,1,2025-12-02 23:13:12
68,290,10,View,1,2026-01-29 09:37:47
69,858,19,View,1,2026-01-26 11:18:51
70,594,16,View,1,2025-12-16 05:11:28
71,887,5,View,1,2026-01-22 16:26:46
72,458,18,View,1,2025-11-06 10:43:01
73,496,12,View,1,2025-12-25 23:00:31
74,341,18,View,1,2025-11-15 13:03:14
75,782,18,Like,1,2025-11-07 15:50:53
76,387,15,View,1,2025-12-12 04:27:06
77,956,11,View,1,2025-11-19 07:35:43
78,891,7,View,1,2025-11-10 08:36:36
79,715,8,View,1,2026-01-09 06:45:54
80,586,13,Purchase,1,2025-11-10 16:51:30
81,877,14,AddToCart,1,2025-11-24 14:45:58
82,45,11,View,1,2025-12-01 03:03:51
83,763,16,View,1,2026-01-17 01:01:03
84,723,13,Purchase,2,2026-01-20 11:22:56
85,680,5,Purchase,2,2025-11-20 19:57:58
86,988,2,View,1,2025-12-03 00:49:20
87,130,17,View,1,2026-01-10 13:22:28
88,989,19,View,1,2025-11-29 12:48:33
89,340,4,Like,1,2025-11-19 10:09:45
90,896,15,View,1,2026-01-25 16:51:40
91,103,17,Purchase,2,2025-11-11 05:30:24
92,16,5,View,1,2026-01-11 06:09:44
93,420,5,View,1,2026-01-20 08:38:41
94,77,16,View,1,2025-12-03 20:41:13
95,801,9,View,1,2025-11-25 00:18:58
96,347,20,View,1,2026-01-17 08:57:39
